datetime,used_power,surplus_power
2018/01/18,0.00,162.52
2018/01/17,0.00,162.52
2018/01/16,0.00,162.52
2018/01/15,0.75,162.52
2018/01/14,6.46,163.27
2018/01/13,8.41,169.73
2018/01/12,9.69,178.14
2018/01/11,6.74,187.83
2018/01/10,2.78,194.57
2018/01/09,2.60,197.35
2018/01/08,4.27,199.95
2018/01/07,4.79,204.22
2018/01/06,2.46,209.01
2018/01/05,4.67,211.47
2018/01/04,2.41,216.14
2018/01/03,2.31,218.55
2018/01/02,3.65,220.86
2018/01/01,3.20,224.51
2017/12/31,3.61,227.71
2017/12/30,2.39,231.32
2017/12/29,3.51,233.71
2017/12/28,3.66,237.22
2017/12/27,6.60,240.88
2017/12/25,3.69,247.48
2017/12/24,2.20,251.17
2017/12/23,2.77,-137.54
2017/12/22,6.39,-134.77
2017/12/21,12.36,-128.38
2017/12/20,3.12,-116.02
2017/12/19,3.87,-112.90
2017/12/18,13.39,-109.03
2017/12/17,12.81,-95.64
2017/12/16,2.75,-82.83
2017/12/15,9.27,-80.08
2017/12/14,8.26,-70.81
2017/12/13,9.27,-62.55
2017/12/12,11.22,-53.28
2017/12/11,6.86,-42.06
2017/12/10,3.76,-35.20
2017/12/09,16.44,-31.44
2017/12/08,3.84,-15.00
2017/12/07,11.35,-11.15
2017/12/06,9.23,0.19
2017/12/05,6.44,9.42
2017/12/04,2.88,15.86
2017/12/03,6.97,18.74
2017/12/02,2.40,25.71
2017/12/01,2.96,28.11
2017/11/30,2.95,31.07
2017/11/29,2.48,34.02
2017/11/28,2.72,36.50
2017/11/27,4.17,39.22
2017/11/26,3.38,43.39
2017/11/25,15.33,46.77
2017/11/24,10.89,62.10
2017/11/23,2.46,72.99
