datetime,a4423,d9302,,datetime
2016/8/25,0.35,0,,2016/8/25
2016/8/27,0,0,,2016/8/27
2016/8/28,1,8.11,,2016/8/28
2016/8/29,0,4,,2016/8/29
2016/8/30,0.55,0,,2016/8/30
2016/8/31,1,5.26,,2016/8/31
2016/9/1,1.3,5.91,,2016/9/1
2016/9/2,0.85,6.03,,2016/9/2
2016/9/3,1.3,6.92,,2016/9/3
2016/9/4,1.35,6.29,,2016/9/4
2016/9/5,1.05,9.28,,2016/9/5
2016/9/6,1.1,6.55,,2016/9/6
2016/9/7,1.05,8.63,,2016/9/7
2016/9/8,1.4,6.64,,2016/9/8
2016/9/9,0.85,7.06,,2016/9/9
2016/9/10,1.3,8.43,,2016/9/10
2016/9/11,1.3,5.38,,2016/9/11
2016/9/12,1.5,4.94,,2016/9/12
2016/9/13,1.15,7.29,,2016/9/13
2016/9/14,1.5,5.7,,2016/9/14
2016/9/15,1.7,6.27,,2016/9/15
2016/9/16,1.5,6.8,,2016/9/16
2016/9/17,1.4,3.43,,2016/9/17
2016/9/18,1.75,5.73,,2016/9/18
2016/9/19,0.55,1.21,,2016/9/19
2016/9/20,0.75,1.75,,2016/9/20
2016/9/21,0.5,1.72,,2016/9/21
2016/9/23,1.25,3.12,,2016/9/23
2016/9/24,0.65,1.49,,2016/9/24
2016/9/25,1.1,3.01,,2016/9/25
2016/9/26,0.9,2.79,,2016/9/26
2016/9/27,0.55,2.24,,2016/9/27
2016/9/28,0.8,2.7,,2016/9/28
2016/9/29,0.3,2.3,,2016/9/29
2016/9/30,0.45,2.07,,2016/9/30
2016/10/1,0.55,1.99,,2016/10/1
2016/10/2,0.8,1.82,,2016/10/2
2016/10/3,1.3,0.5,,2016/10/3
2016/10/4,0.85,0,,2016/10/4
2016/10/5,0.85,0,,2016/10/5
2016/10/6,1.1,0,,2016/10/6
2016/10/7,1.2,0,,2016/10/7
2016/10/8,0.9,2.25,,2016/10/8
2016/10/9,0.55,2.23,,2016/10/9
2016/10/10,0.6,1.97,,2016/10/10
2016/10/11,0.5,1.85,,2016/10/11
2016/10/12,0.5,1.6,,2016/10/12
2016/10/13,0.35,2.86,,2016/10/13
2016/10/14,0.55,1.84,,2016/10/14
2016/10/15,0.7,1.34,,2016/10/15
2016/10/16,1.35,2.75,,2016/10/16
2016/10/17,1.15,1.59,,2016/10/17
2016/10/18,0.55,1.58,,2016/10/18
2016/10/19,0.4,1.25,,2016/10/19
2016/10/20,0.5,1.41,,2016/10/20
2016/10/21,1.85,1.93,,2016/10/21
2016/10/22,1.6,2.66,,2016/10/22
2016/10/23,1,1.52,,2016/10/23
2016/10/24,0.9,1.75,,2016/10/24
2016/10/26,1.05,3.81,,2016/10/26
2016/10/27,0.7,1.94,,2016/10/27
2016/10/28,0.45,1.82,,2016/10/28
2016/10/31,3.35,13.84,,2016/10/31
2016/11/1,0.6,12.8,,2016/11/1
2016/11/2,0.95,2.47,,2016/11/2
2016/11/3,0.65,5.56,,2016/11/3
2016/11/4,0.45,6.47,,2016/11/4
2016/11/5,0.7,4.22,,2016/11/5
2016/11/6,1.55,6.54,,2016/11/6
2016/11/7,1.4,7.25,,2016/11/7
2016/11/8,0.9,2.64,,2016/11/8
2016/11/9,0.85,2.16,,2016/11/9
2016/11/10,0.95,14.13,,2016/11/10
2016/11/11,0.6,8.13,,2016/11/11
