datetime,used_power,surplus_power
2018/01/18,0.00,15.53
2018/01/17,0.00,15.53
2018/01/16,0.00,15.53
2018/01/15,0.00,15.53
2018/01/14,0.00,15.53
2018/01/13,0.00,15.53
2018/01/12,0.08,15.53
2018/01/11,1.37,15.61
2018/01/10,1.11,16.98
2018/01/09,0.28,18.09
2018/01/08,1.18,18.37
2018/01/07,0.63,19.55
2018/01/06,4.41,20.18
2018/01/05,4.58,24.59
2018/01/04,3.09,29.17
2018/01/03,3.02,32.26
2018/01/02,1.08,35.28
2018/01/01,1.58,-0.01
2017/12/31,1.90,1.57
2017/12/30,1.67,3.48
2017/12/29,2.40,5.14
2017/12/28,2.96,7.54
2017/12/27,2.34,10.51
2017/12/26,2.85,12.85
2017/12/25,2.51,15.70
2017/12/24,4.50,18.20
2017/12/22,1.39,22.70
2017/12/21,3.07,24.10
2017/12/20,2.32,27.17
2017/12/19,1.40,29.48
2017/12/18,1.09,30.88
2017/12/17,3.49,31.97
2017/12/16,1.19,35.46
2017/12/15,2.82,0.29
2017/12/14,4.45,3.11
2017/12/12,2.64,7.56
2017/12/11,2.38,10.20
2017/12/10,2.58,12.58
2017/12/09,5.21,15.16
2017/12/07,2.77,2.19
2017/12/06,2.68,4.96
2017/12/05,2.75,7.64
2017/12/04,2.92,10.39
2017/12/03,2.59,13.31
2017/12/02,2.01,15.90
2017/12/01,1.67,17.91
2017/11/30,2.86,19.58
2017/11/29,2.78,22.44
2017/11/28,2.36,25.22
2017/11/27,2.79,27.58
2017/11/26,1.96,30.37
2017/11/25,1.07,32.33
2017/11/24,1.40,33.40
2017/11/23,1.56,34.80
2017/11/22,1.10,0.00
2017/11/21,1.36,1.10
2017/11/20,2.15,2.46
2017/11/19,2.13,4.61
2017/11/18,1.60,6.74
2017/11/17,2.97,8.34
2017/11/16,2.22,11.31
2017/11/15,1.42,13.53
2017/11/14,1.11,14.95
2017/11/13,0.80,16.06
2017/11/12,1.09,16.86
2017/11/11,0.88,17.95
2017/11/10,1.54,18.83
2017/11/09,2.34,20.37
2017/11/08,2.22,22.71
2017/11/07,2.36,24.93
2017/11/06,1.85,27.29
2017/11/05,3.06,29.14
2017/11/04,2.47,32.20
2017/11/03,1.70,34.67
2017/11/02,2.68,0.00
2017/11/01,3.07,2.68
2017/10/31,2.97,5.75
2017/10/30,2.13,8.72
2017/10/29,2.02,10.85
2017/10/28,4.51,12.87
2017/10/27,3.53,17.38
2017/10/26,1.43,20.91
2017/10/25,2.87,22.34
2017/10/24,2.33,25.21
2017/10/23,3.48,27.54
2017/10/22,3.49,31.02
2017/10/21,3.07,34.51
2017/10/20,2.73,37.58
2017/10/19,1.49,40.31
2017/10/18,2.63,41.80
2017/10/17,2.33,44.43
2017/10/16,3.09,46.76
2017/10/15,2.84,49.85
2017/10/14,5.15,52.69
2017/10/13,2.98,97.84
2017/10/12,2.38,100.82
2017/10/11,2.91,103.20
2017/10/10,4.08,106.11
2017/10/09,1.09,110.19
2017/10/08,0.92,111.28
2017/10/07,0.41,112.20
2017/10/06,0.44,112.61
2017/10/05,0.45,113.05
2017/10/04,1.22,113.50
2017/10/03,1.04,114.72
2017/10/02,1.64,115.76
2017/10/01,2.42,117.40
2017/09/30,3.02,119.82
2017/09/29,3.86,122.84
2017/09/27,1.48,126.70
2017/09/26,2.12,128.18
2017/09/25,2.03,130.30
2017/09/24,2.70,132.33
2017/09/23,3.03,135.03
2017/09/22,2.28,138.06
2017/09/21,3.51,140.34
2017/09/20,3.07,143.85
2017/09/19,3.02,146.92
2017/09/18,3.85,149.94
2017/09/17,2.86,153.79
2017/09/16,2.64,156.65
2017/09/15,3.20,159.29
2017/09/14,2.57,162.49
2017/09/13,5.26,165.06
2017/09/11,3.94,170.32
2017/09/10,3.71,174.26
2017/09/09,3.70,177.97
2017/09/08,2.90,181.67
2017/09/07,3.43,184.57
2017/09/06,2.59,188.00
2017/09/05,2.11,190.59
2017/09/04,3.63,192.70
2017/09/03,3.67,196.33
2017/09/02,-890.99,200.00
2017/09/01,1.93,-0.08
2017/08/31,2.36,1.85
2017/08/30,1.04,4.21
2017/08/29,1.32,5.26
2017/08/28,0.98,6.57
2017/08/27,0.00,7.55
2017/08/26,883.36,7.55
2017/08/25,0.00,0.00
2017/08/24,0.00,0.00
2017/08/23,0.00,0.00
2017/07/15,0.00,0.00
2017/07/14,0.00,0.00
2017/07/13,-883.33,0.00
2017/07/12,0.00,7.58
2017/07/11,0.00,7.58
2017/07/09,0.69,7.58
2017/07/08,2.28,8.27
2017/07/07,1.04,10.55
2017/07/06,0.64,11.59
2017/07/05,2.44,12.23
2017/07/04,1.35,14.67
2017/07/03,2.24,16.02
2017/07/02,3.87,18.26
2017/07/01,3.47,22.13
2017/06/30,4.16,25.60
2017/06/29,3.87,2.49
2017/06/28,3.56,6.36
2017/06/27,4.35,9.92
2017/06/26,4.04,14.27
2017/06/25,3.87,18.31
2017/06/24,5.00,22.18
2017/06/23,4.67,27.18
2017/06/22,4.61,31.85
2017/06/21,4.85,0.10
2017/06/20,4.98,4.95
2017/06/19,3.71,9.93
2017/06/18,5.65,13.64
2017/06/17,4.18,19.29
2017/06/16,4.74,23.47
2017/06/15,4.71,28.21
2017/06/14,4.64,32.92
2017/06/13,4.00,1.19
2017/06/12,3.47,5.19
2017/06/11,4.07,8.66
2017/06/10,4.50,12.73
2017/06/09,3.30,17.23
2017/06/08,3.36,20.53
2017/06/07,3.25,23.89
2017/06/06,2.94,27.14
2017/06/05,3.31,30.08
2017/06/04,2.97,33.39
2017/06/03,3.81,-0.01
2017/06/02,3.08,3.80
2017/06/01,4.08,6.89
2017/05/31,3.73,10.96
2017/05/30,3.48,14.70
2017/05/29,4.54,-0.01
2017/05/28,4.87,4.53
2017/05/27,3.80,9.40
2017/05/26,2.98,13.21
2017/05/25,3.35,16.18
2017/05/24,4.58,1.35
2017/05/23,3.17,5.93
2017/05/22,2.83,9.10
2017/05/21,3.60,11.93
2017/05/20,3.24,15.53
2017/05/19,2.70,18.78
2017/05/18,3.43,21.47
2017/05/17,3.19,24.90
2017/05/16,2.68,28.09
2017/05/15,3.72,30.78
2017/05/14,3.96,34.49
2017/05/13,3.27,2.09
2017/05/12,3.61,5.36
2017/05/11,3.55,8.97
2017/05/10,3.63,12.52
2017/05/09,2.56,16.15
2017/05/08,2.76,18.71
2017/05/07,3.30,21.47
2017/05/06,3.43,24.77
2017/05/05,3.07,28.20
2017/05/04,2.54,31.27
2017/05/03,2.65,33.81
2017/05/02,1.81,0.10
2017/05/01,2.94,1.91
2017/04/30,2.33,4.85
2017/04/29,2.55,7.17
2017/04/28,3.10,9.73
2017/04/27,3.56,12.83
2017/04/26,3.14,16.39
2017/04/25,2.89,1.35
2017/04/24,2.92,4.24
2017/04/23,3.33,7.16
2017/04/22,3.58,10.49
2017/04/21,3.86,14.07
2017/04/20,3.71,17.93
2017/04/19,3.48,21.64
2017/04/18,3.29,25.12
2017/04/17,2.91,28.41
2017/04/16,3.81,31.32
2017/04/15,3.33,35.13
2017/04/14,2.72,38.46
2017/04/13,3.32,41.18
2017/04/12,3.45,44.49
2017/04/11,3.47,47.95
2017/04/10,4.63,51.42
2017/04/09,4.59,56.05
2017/04/08,2.95,60.64
2017/04/07,3.84,63.59
2017/04/06,0.48,67.43
2017/04/05,2.35,67.91
2017/04/04,1.88,70.26
2017/04/03,1.70,72.14
2017/04/02,1.91,73.84
2017/04/01,2.00,75.74
2017/03/31,1.99,77.74
2017/03/30,3.46,79.74
2017/03/29,3.19,83.20
2017/03/28,2.79,86.39
2017/03/27,3.20,89.18
2017/03/26,2.82,92.38
2017/03/25,2.77,95.20
2017/03/24,3.04,97.97
2017/03/23,3.23,101.01
2017/03/22,2.87,104.24
2017/03/21,3.32,107.11
2017/03/20,2.94,110.43
2017/03/19,3.68,113.37
2017/03/18,5.20,117.05
2017/03/17,4.84,122.25
2017/03/16,5.52,127.09
2017/03/15,5.00,132.61
2017/03/14,5.32,137.61
2017/03/13,5.83,142.93
2017/03/12,3.53,148.76
2017/03/11,7.04,152.29
2017/03/10,4.48,159.33
2017/03/09,5.91,163.81
2017/03/08,5.62,169.72
2017/03/07,3.94,175.34
2017/03/06,4.85,179.28
2017/03/05,2.75,184.13
2017/03/04,3.50,186.88
2017/03/03,3.84,190.38
2017/03/02,6.27,194.22
2017/03/01,4.57,200.49
2017/02/28,5.16,205.06
2017/02/27,5.47,210.22
2017/02/26,6.41,215.69
2017/02/25,5.17,222.10
2017/02/24,5.71,227.27
2017/02/23,4.67,232.98
2017/02/22,4.32,237.65
2017/02/21,4.00,241.97
2017/02/20,2.23,245.97
2017/02/19,1.37,248.20
2017/02/18,0.13,249.57
2017/01/15,0.00,9.70
2017/01/14,0.00,9.70
2017/01/13,0.00,9.70
2017/01/12,0.00,9.70
2017/01/11,0.00,9.70
2017/01/10,0.02,9.70
2017/01/09,5.39,9.71
2017/01/08,5.53,13.28
2017/01/07,6.09,18.81
2017/01/06,3.77,24.90
2017/01/05,3.96,28.67
2017/01/04,2.66,32.63
2017/01/03,3.38,35.29
2017/01/02,2.84,38.67
2017/01/01,3.83,41.51
2016/12/31,3.70,45.35
2016/12/30,3.34,49.04
2016/12/29,4.06,52.38
2016/12/28,8.94,1.90
2016/12/27,8.00,10.84
2016/12/26,4.91,18.84
2016/12/25,6.98,23.75
2016/12/24,5.73,30.73
2016/12/23,5.61,36.46
2016/12/22,7.40,42.07
2016/12/21,8.44,49.47
2016/12/20,6.44,57.91
2016/12/19,6.71,64.35
2016/12/18,5.00,71.06
2016/12/17,5.80,76.06
2016/12/16,3.74,81.86
2016/12/15,7.62,85.60
2016/12/14,7.39,2.31
2016/12/13,7.18,9.70
2016/12/12,5.60,16.88
2016/12/11,5.06,22.48
2016/12/10,5.09,27.54
2016/12/09,5.35,32.63
2016/12/07,2.67,37.98
2016/12/06,2.25,40.65
2016/12/05,2.09,42.90
2016/12/04,2.48,44.99
2016/12/03,3.42,47.47
2016/12/02,2.81,50.89
2016/12/01,2.45,53.70
2016/11/30,2.38,56.15
2016/11/29,2.29,58.53
2016/11/28,5.15,60.82
2016/11/27,0.02,65.97
2016/11/26,2.77,65.99
2016/11/25,1.46,68.76
2016/11/24,2.05,70.22
2016/11/23,1.32,72.27
2016/11/22,1.95,73.59
2016/11/21,1.70,75.54
2016/11/20,2.32,77.24
2016/11/19,3.29,79.56
2016/11/18,1.97,82.85
2016/11/17,2.79,84.82
2016/11/16,2.22,87.61
