datetime,used_power
2016/8/25,0
2016/8/27,0
2016/8/28,8.11
2016/8/29,4
2016/8/30,0
2016/8/31,5.26
2016/9/1,5.91
2016/9/2,6.03
2016/9/3,6.92
2016/9/4,6.29
2016/9/5,9.28
2016/9/6,6.55
2016/9/7,8.63
2016/9/8,6.64
2016/9/9,7.06
2016/9/10,8.43
2016/9/11,5.38
2016/9/12,4.94
2016/9/13,7.29
2016/9/14,5.7
2016/9/15,6.27
2016/9/16,6.8
2016/9/17,3.43
2016/9/18,5.73
2016/9/19,1.21
2016/9/20,1.75
2016/9/21,1.72
2016/9/23,3.12
2016/9/24,1.49
2016/9/25,3.01
2016/9/26,2.79
2016/9/27,2.24
2016/9/28,2.7
2016/9/29,2.3
2016/9/30,2.07
2016/10/1,1.99
2016/10/2,1.82
2016/10/3,0.5
2016/10/4,0
2016/10/5,0
2016/10/6,0
2016/10/7,0
2016/10/8,2.25
2016/10/9,2.23
2016/10/10,1.97
2016/10/11,1.85
2016/10/12,1.6
2016/10/13,2.86
2016/10/14,1.84
2016/10/15,1.34
2016/10/16,2.75
2016/10/17,1.59
2016/10/18,1.58
2016/10/19,1.25
2016/10/20,1.41
2016/10/21,1.93
2016/10/22,2.66
2016/10/23,1.52
2016/10/24,1.75
2016/10/26,3.81
2016/10/27,1.94
2016/10/28,1.82
2016/10/31,13.84
2016/11/1,12.8
2016/11/2,2.47
2016/11/3,5.56
2016/11/4,6.47
2016/11/5,4.22
2016/11/6,6.54
2016/11/7,7.25
2016/11/8,2.64
2016/11/9,2.16
2016/11/10,14.13
2016/11/11,8.13
2016/11/12,7.45
2016/11/13,3.18
2016/11/14,1.75
2016/11/15,1.77
2016/11/16,2.02
2016/11/17,2.37
2016/11/18,1.89
2016/11/19,1.44
2016/11/20,1.76
2016/11/21,1.96
2016/11/22,2.02
2016/11/23,12.51
2016/11/24,7.64
2016/11/25,4.75
2016/11/26,11.88
2016/11/27,9.15
2016/11/28,1.71
2016/11/29,1.66
2016/11/30,5.91
2016/12/1,1.92
2016/12/2,2.31
2016/12/3,6.8
2016/12/4,2.61
2016/12/5,2.73
2016/12/6,5.99
2016/12/7,6.53
2016/12/8,2.45
2016/12/9,11.2
2016/12/10,1.98
2016/12/11,7.16
2016/12/12,12.21
2016/12/13,1.59
2016/12/14,4.97
2016/12/15,7.92
2016/12/16,7.49
2016/12/17,6.04
2016/12/18,4.5
2016/12/19,7.81
2016/12/20,1.77
2016/12/21,1.59
2016/12/22,2.46
2016/12/23,1.51
2016/12/24,13.8
2016/12/25,7.46
2016/12/26,12.59
2016/12/27,6.85
2016/12/28,12.34
2016/12/29,7.71
2016/12/30,3.33
2016/12/31,3.01
2017/1/1,10.25
2017/1/2,2.81
2017/1/3,2.2
2017/1/4,2.11
2017/1/5,3.05
2017/1/6,2.37
2017/1/7,2.01
2017/1/8,3.74
2017/1/9,1.79
2017/1/10,3.89
2017/1/11,2.33
2017/1/12,1.69
2017/1/13,2.45
2017/1/14,1.91
2017/2/18,3.72
2017/2/19,0.85
2017/2/20,2.69
2017/2/21,3.34
2017/2/22,9.37
2017/2/23,3.72
2017/2/24,4.63
2017/2/25,3.47
2017/2/26,4.05
2017/2/27,3.18
2017/2/28,3.27
2017/3/1,1.98
2017/3/2,2.86
2017/3/3,3.28
2017/3/4,3.45
2017/3/5,2.71
2017/3/6,2.02
2017/3/7,2.4
2017/3/8,1.68
2017/3/9,4.9
2017/3/10,2.91
2017/3/11,3.17
2017/3/12,1.7
2017/3/13,2.43
2017/3/14,3.73
2017/3/15,2.11
2017/3/16,2.75
2017/3/17,2.75
2017/3/18,3.1
2017/3/19,3.14
2017/3/20,2.05
2017/3/21,2.44
2017/3/22,2.47
2017/3/23,2.96
2017/3/24,3
2017/3/25,1.86
2017/3/26,2.84
2017/3/27,2.25
2017/3/28,3.01
2017/3/29,2.9
2017/3/30,3.86
2017/3/31,3.03
2017/4/1,2.58
2017/4/2,2.64
2017/4/3,2.08
2017/4/4,3.08
2017/4/5,4.08
2017/4/6,2.68
2017/4/7,3.06
2017/4/8,2.1
2017/4/9,3.25
2017/4/10,2.65
2017/4/11,2.89
2017/4/12,3.28
2017/4/13,3.73
2017/4/14,2.49
2017/4/15,2.15
2017/4/16,1.87
2017/4/17,1.82
2017/4/18,2.25
2017/4/19,1.79
2017/4/20,2.3
2017/4/21,1.71
2017/4/22,1.92
2017/4/23,2.17
2017/4/24,2.06
2017/4/25,1.78
2017/4/26,1.53
2017/4/27,2.08
2017/4/28,1.89
2017/4/29,2.11
2017/4/30,1.52
2017/5/1,1.29
2017/5/2,1.93
2017/5/3,1.89
2017/5/4,1.45
2017/5/5,2.63
2017/5/6,1.68
2017/5/7,2
2017/5/8,1.63
2017/5/9,1.96
2017/5/10,1.88
2017/5/11,1.87
2017/5/12,2.37
2017/5/13,2.17
2017/5/14,2.22
2017/5/15,1.84
2017/5/16,2.17
2017/5/17,2.37
2017/5/18,2.1
2017/5/19,3.64
2017/5/20,2.75
2017/5/21,2.25
2017/5/22,3.12
2017/5/23,4.11
2017/5/24,2.05
2017/5/25,2.25
2017/5/26,2.22
2017/5/27,2.37
2017/5/28,3.95
2017/5/29,2.77
2017/5/30,4.01
2017/5/31,6.6
2017/6/1,7.76
2017/6/2,5.43
2017/6/3,1.42
2017/6/4,1.5
2017/6/5,1.83
2017/6/6,1.65
2017/6/7,2.08
2017/6/8,1.8
2017/6/9,2.91
2017/6/10,5.38
2017/6/11,2.24
2017/6/12,1.51
2017/6/13,2.01
2017/6/14,4.03
2017/6/15,2.13
2017/6/16,3.32
2017/6/17,4.5
2017/6/18,5.38
2017/6/19,6.83
2017/6/20,4.22
2017/6/21,4.92
2017/6/22,5.6
2017/6/23,3.88
2017/6/24,4.51
2017/6/25,4.22
2017/6/26,5.98
2017/6/27,4.63
2017/6/28,4.51
2017/6/29,6.55
2017/6/30,4
2017/7/1,6.49
2017/7/2,3.92
2017/7/3,6.5
2017/7/4,7.77
2017/7/5,8.24
2017/7/6,6.59
2017/7/7,8.79
2017/7/8,2.59
2017/7/9,2.25
2017/7/12,4.47
2017/7/13,2.27
2017/7/14,2.08
