datetime,used_power,surplus_power
2018/01/18,0.96,8.99
2018/01/17,1.48,9.96
2018/01/16,1.25,11.43
2018/01/15,0.93,12.68
2018/01/14,1.31,13.61
2018/01/13,1.87,14.93
2018/01/12,2.13,16.80
2018/01/11,1.53,18.93
2018/01/10,2.59,20.46
2018/01/09,2.20,23.05
2018/01/08,3.22,25.24
2018/01/07,3.27,28.46
2018/01/06,2.95,31.74
2018/01/05,3.40,34.68
2018/01/04,2.82,38.08
2018/01/03,3.51,40.90
2018/01/02,3.11,44.42
2018/01/01,3.49,47.52
2017/12/31,3.51,5.56
2017/12/30,3.73,9.07
2017/12/29,2.80,12.80
2017/12/28,3.73,15.60
2017/12/27,2.64,19.33
2017/12/26,3.31,21.97
2017/12/25,2.78,25.28
2017/12/24,7.17,28.06
2017/12/22,3.20,35.23
2017/12/21,4.12,38.43
2017/12/20,3.00,42.55
2017/12/19,3.41,45.55
2017/12/18,3.41,48.96
2017/12/17,2.58,52.37
2017/12/16,3.56,54.95
2017/12/15,2.96,58.51
2017/12/14,7.61,61.47
2017/12/12,3.71,69.08
2017/12/11,3.45,72.79
2017/12/10,3.75,76.24
2017/12/09,6.47,79.99
2017/12/07,3.72,86.46
2017/12/06,3.48,90.18
2017/12/05,2.62,93.66
2017/12/04,2.98,96.28
2017/12/03,4.01,99.26
2017/12/02,4.00,103.27
2017/12/01,3.52,107.27
2017/11/30,3.38,110.79
2017/11/29,3.05,114.17
2017/11/28,3.04,117.22
2017/11/27,3.46,120.26
2017/11/26,4.03,123.72
2017/11/25,3.86,127.75
2017/11/24,3.20,131.61
2017/11/23,2.32,134.81
2017/11/22,3.85,137.13
2017/11/21,3.24,140.98
2017/11/20,3.23,144.22
2017/11/19,3.70,147.45
2017/11/18,4.31,151.15
2017/11/17,3.48,155.46
2017/11/16,3.33,158.94
2017/11/15,2.74,162.27
2017/11/14,2.91,165.01
2017/11/13,3.34,167.92
2017/11/12,3.44,171.26
2017/11/11,3.82,174.70
2017/11/10,3.30,178.52
2017/11/09,2.63,0.00
2017/11/08,2.80,2.63
2017/11/07,2.65,5.43
2017/11/06,3.60,8.08
2017/11/05,3.51,11.68
2017/11/04,2.99,15.19
2017/11/03,3.56,18.18
2017/11/02,3.06,21.74
2017/11/01,3.73,24.80
2017/10/31,2.90,28.53
2017/10/30,3.32,31.43
2017/10/29,3.08,34.75
2017/10/28,3.55,1.47
2017/10/27,2.97,5.01
2017/10/26,3.59,7.99
2017/10/25,3.05,11.58
2017/10/24,2.57,14.63
2017/10/23,2.65,17.20
2017/10/22,3.52,19.85
2017/10/21,3.85,23.37
2017/10/20,3.29,27.22
2017/10/19,3.63,30.51
2017/10/18,2.74,34.14
2017/10/17,3.52,0.51
2017/10/16,3.24,4.03
2017/10/15,3.34,7.27
2017/10/14,3.61,10.61
2017/10/13,3.00,54.22
2017/10/12,3.41,57.22
2017/10/11,2.72,60.63
2017/10/10,2.49,63.35
2017/10/09,3.04,65.84
2017/10/08,2.93,68.88
2017/10/07,3.23,71.81
2017/10/06,3.07,75.04
2017/10/05,3.00,78.11
2017/10/04,2.37,81.11
2017/10/03,1.96,83.48
2017/10/02,2.29,85.44
2017/10/01,4.00,87.73
2017/09/30,3.57,91.73
2017/09/29,7.00,95.30
2017/09/27,4.21,102.30
2017/09/26,3.09,106.51
2017/09/25,4.58,109.60
2017/09/24,4.33,114.18
2017/09/23,4.91,118.51
2017/09/22,4.08,123.42
2017/09/21,4.11,127.50
2017/09/20,3.35,131.61
2017/09/19,3.20,134.96
2017/09/18,4.56,138.16
2017/09/17,5.10,142.72
2017/09/16,4.72,147.82
2017/09/15,3.85,152.54
2017/09/14,4.47,156.39
2017/09/13,5.62,160.86
2017/09/11,3.43,166.48
2017/09/10,4.19,169.91
2017/09/09,4.97,174.10
2017/09/08,3.48,179.07
2017/09/07,4.03,182.55
2017/09/06,3.20,186.58
2017/09/05,2.76,189.78
2017/09/04,3.62,192.54
2017/09/03,3.83,196.16
2017/09/02,-802.60,199.99
2017/09/01,2.57,-8.06
2017/08/31,2.91,-5.49
2017/08/30,2.53,-2.58
2017/08/29,0.44,-0.05
2017/08/28,0.05,0.39
2017/08/27,0.05,0.44
2017/08/26,794.06,0.49
2017/08/25,0.00,0.00
2017/08/24,0.00,0.00
2017/08/23,0.00,0.00
2017/07/15,0.00,0.00
2017/07/14,0.00,0.00
2017/07/13,-793.94,0.00
2017/07/12,0.00,0.61
2017/07/11,0.91,0.61
2017/07/09,3.04,1.52
2017/07/08,2.77,4.56
2017/07/07,1.07,7.33
2017/07/06,0.57,8.40
2017/07/05,2.18,8.97
2017/07/04,2.45,11.15
2017/07/03,1.37,13.60
2017/07/02,3.84,14.97
2017/07/01,3.99,0.63
2017/06/30,3.86,4.62
2017/06/29,3.72,8.48
2017/06/28,4.62,12.20
2017/06/27,3.52,16.82
2017/06/26,4.12,20.34
2017/06/25,4.21,24.46
2017/06/24,4.64,28.67
2017/06/23,4.05,33.31
2017/06/22,3.85,0.99
2017/06/21,3.88,4.85
2017/06/20,4.17,8.72
2017/06/19,4.01,12.90
2017/06/18,4.25,16.91
2017/06/17,4.26,21.16
2017/06/16,3.61,25.41
2017/06/15,3.71,29.03
2017/06/14,4.08,32.73
2017/06/13,3.82,0.45
2017/06/12,3.80,4.27
2017/06/11,4.78,8.07
2017/06/10,3.77,12.85
2017/06/09,3.22,16.62
2017/06/08,3.21,19.84
2017/06/07,2.99,23.05
2017/06/06,2.51,26.04
2017/06/05,3.86,28.55
2017/06/04,3.95,32.41
2017/06/03,3.46,-0.01
2017/06/02,3.33,3.46
2017/06/01,3.63,6.79
2017/05/31,3.92,10.42
2017/05/30,3.93,14.34
2017/05/29,4.25,18.27
2017/05/28,3.60,22.52
2017/05/27,3.72,26.12
2017/05/26,3.42,29.84
2017/05/25,3.04,33.26
2017/05/24,2.84,36.30
2017/05/23,2.86,39.14
2017/05/22,3.55,41.99
2017/05/21,3.66,45.55
2017/05/20,3.29,49.21
2017/05/19,2.82,52.49
2017/05/18,3.29,55.32
2017/05/17,3.07,58.61
2017/05/16,2.79,61.68
2017/05/15,3.51,64.47
2017/05/14,2.97,67.98
2017/05/13,2.99,70.95
2017/05/12,1.98,73.93
2017/05/11,2.60,75.92
2017/05/10,2.16,78.52
2017/05/09,1.92,80.68
2017/05/08,3.29,82.60
2017/05/07,2.96,85.89
2017/05/06,2.81,88.85
2017/05/05,3.14,0.74
2017/05/04,2.71,3.89
2017/05/03,2.70,6.59
2017/05/02,3.50,9.29
2017/05/01,3.54,12.79
2017/04/30,3.25,16.33
2017/04/29,2.91,19.58
2017/04/28,3.31,22.49
2017/04/27,2.89,25.80
2017/04/26,2.77,28.70
2017/04/25,2.96,31.46
2017/04/24,3.19,34.42
2017/04/23,3.62,37.61
2017/04/22,3.14,41.23
2017/04/21,3.23,44.38
2017/04/20,2.72,47.60
2017/04/19,3.15,50.33
2017/04/18,2.55,53.47
2017/04/17,3.29,56.02
2017/04/16,3.59,59.32
2017/04/15,3.20,62.90
2017/04/14,2.87,66.10
2017/04/13,3.67,68.97
2017/04/12,2.74,72.64
2017/04/11,3.60,75.38
2017/04/10,2.83,78.98
2017/04/09,2.81,81.82
2017/04/08,3.46,84.63
2017/04/07,4.69,88.08
2017/04/06,0.98,92.77
2017/04/05,3.04,93.76
2017/04/04,3.05,96.79
2017/04/03,2.81,99.85
2017/04/02,2.72,102.65
2017/04/01,2.74,105.38
2017/03/31,2.85,108.11
2017/03/30,3.15,110.96
2017/03/29,3.09,114.11
2017/03/28,3.23,117.20
2017/03/27,3.21,120.43
2017/03/26,2.88,123.64
2017/03/25,3.31,126.52
2017/03/24,2.84,129.83
2017/03/23,3.15,132.67
2017/03/22,2.73,135.82
2017/03/21,3.29,138.55
2017/03/20,3.26,141.85
2017/03/19,3.50,145.10
2017/03/18,3.81,148.60
2017/03/17,3.35,152.41
2017/03/16,3.45,155.76
2017/03/15,3.27,159.21
2017/03/14,3.33,162.48
2017/03/13,3.80,165.82
2017/03/12,3.56,169.61
2017/03/11,3.64,173.17
2017/03/10,2.81,176.82
2017/03/09,3.54,179.63
2017/03/08,3.10,183.16
2017/03/07,3.34,186.26
2017/03/06,3.02,189.60
2017/03/05,3.32,192.63
2017/03/04,2.91,195.94
2017/03/03,2.65,198.85
2017/03/02,3.14,201.51
2017/03/01,2.87,204.64
2017/02/28,3.18,207.51
2017/02/27,3.54,210.69
2017/02/26,4.06,214.23
2017/02/25,3.10,218.29
2017/02/24,3.21,221.39
2017/02/23,3.11,224.60
2017/02/22,2.89,227.71
2017/02/21,3.08,230.60
2017/02/20,3.23,233.68
2017/02/19,3.59,236.91
2017/02/18,1.78,240.51
2017/01/15,0.00,2.29
2017/01/14,0.00,2.29
2017/01/13,0.00,2.29
2017/01/12,0.00,2.29
2017/01/11,0.00,2.29
2017/01/10,0.00,2.29
2017/01/09,0.00,2.29
2017/01/08,0.00,2.29
2017/01/07,0.27,2.29
2017/01/06,2.90,2.55
2017/01/05,2.05,0.00
2017/01/04,3.18,2.05
2017/01/03,3.16,5.23
2017/01/02,2.64,8.39
2017/01/01,2.85,11.03
2016/12/31,3.51,13.88
2016/12/30,2.95,17.39
2016/12/29,2.99,20.34
2016/12/28,3.10,23.33
2016/12/27,3.23,26.43
2016/12/26,3.03,29.66
2016/12/25,3.25,32.69
2016/12/24,3.73,35.94
2016/12/23,3.12,39.67
2016/12/22,3.71,42.79
2016/12/21,4.05,46.50
2016/12/20,3.37,50.55
2016/12/19,3.10,53.92
2016/12/18,3.67,57.02
2016/12/17,3.13,60.69
2016/12/16,2.84,63.82
2016/12/15,3.33,66.66
2016/12/14,2.73,69.99
2016/12/13,3.13,72.72
2016/12/12,3.46,75.85
2016/12/11,2.56,79.31
2016/12/10,3.30,81.87
2016/12/09,5.74,85.17
2016/12/07,1.64,0.00
2016/12/06,3.54,1.64
2016/12/05,3.07,5.18
