datetime,used_power,surplus_power
2016/8/25,0,0
2016/8/27,0,47.63
2016/8/28,8.11,39.52
2016/8/29,4,35.52
2016/8/30,0,156.7
2016/8/31,5.26,151.44
2016/9/1,5.91,145.53
2016/9/2,6.03,139.5
2016/9/3,6.92,132.58
2016/9/4,6.29,126.29
2016/9/5,9.28,117.01
2016/9/6,6.55,110.46
2016/9/7,8.63,101.83
2016/9/8,6.64,95.19
2016/9/9,7.06,88.13
2016/9/10,8.43,79.7
2016/9/11,5.38,74.32
2016/9/12,4.94,69.38
2016/9/13,7.29,62.09
2016/9/14,5.7,56.39
2016/9/15,6.27,50.12
2016/9/16,6.8,43.32
2016/9/17,3.43,39.89
2016/9/18,5.73,34.16
2016/9/19,1.21,32.95
2016/9/20,1.75,31.2
2016/9/21,1.72,29.48
2016/9/23,3.12,26.36
2016/9/24,1.49,24.87
2016/9/25,3.01,21.86
2016/9/26,2.79,19.07
2016/9/27,2.24,16.83
2016/9/28,2.7,14.13
2016/9/29,2.3,11.83
2016/9/30,2.07,9.76
2016/10/1,1.99,7.77
2016/10/2,1.82,5.95
2016/10/3,0.5,5.45
2016/10/4,0,5.45
2016/10/5,0,5.45
2016/10/6,0,5.45
2016/10/7,0,5.45
2016/10/8,2.25,3.2
2016/10/9,2.23,0.97
2016/10/10,1.97,53.54
2016/10/11,1.85,51.69
2016/10/12,1.6,50.1
2016/10/13,2.86,47.24
2016/10/14,1.84,45.4
2016/10/15,1.34,44.05
2016/10/16,2.75,41.3
2016/10/17,1.59,39.71
2016/10/18,1.58,38.13
2016/10/19,1.25,36.88
2016/10/20,1.41,35.47
2016/10/21,1.93,33.54
2016/10/22,2.66,30.88
2016/10/23,1.52,29.37
2016/10/24,1.75,27.62
2016/10/26,3.81,23.8
2016/10/27,1.94,21.87
2016/10/28,1.82,20.04
2016/10/31,13.84,6.21
2016/11/1,12.8,47.95
2016/11/2,2.47,45.48
2016/11/3,5.56,58.1
2016/11/4,6.47,51.63
2016/11/5,4.22,47.41
2016/11/6,6.54,40.87
2016/11/7,7.25,33.62
2016/11/8,2.64,30.98
2016/11/9,2.16,28.82
2016/11/10,14.13,14.69
2016/11/11,8.13,6.56
2016/11/12,7.45,-0.89
2016/11/13,3.18,-4.07
2016/11/14,1.75,12.36
2016/11/15,1.77,10.59
2016/11/16,2.02,8.57
2016/11/17,2.37,6.2
2016/11/18,1.89,4.31
2016/11/19,1.44,2.87
2016/11/20,1.76,1.11
2016/11/21,1.96,44.61
2016/11/22,2.02,42.58
2016/11/23,12.51,66.44
2016/11/24,7.64,58.8
2016/11/25,4.75,54.05
2016/11/26,11.88,42.17
2016/11/27,9.15,33.02
2016/11/28,1.71,31.31
